date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:07	464612/464612	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/estils.css	sso.uib.es/cas/css/uib-theme/estils.css	(from https://sso.uib.es/cas/css/cas.css)
23:57:13	25887/25887	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2021:57:07%20GMT	https://sso.uib.es/cas/login?locale=en	sso.uib.es/cas/login7038.html	(from https://sso.uib.es/cas/login?locale=ca)
23:57:14	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:57:14%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure&locale=ca	sso.uib.es/cas/clientredirect.1553f7.delayed	(from https://sso.uib.es/cas/login?locale=ca)
23:57:15	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:57:14%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure_2FA&locale=ca	sso.uib.es/cas/clientredirect.16f861.delayed	(from https://sso.uib.es/cas/login?locale=ca)
23:57:16	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:57:16%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure_MFA&locale=ca	sso.uib.es/cas/clientredirect.175795.delayed	(from https://sso.uib.es/cas/login?locale=ca)
23:57:17	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:57:17%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure&locale=es	sso.uib.es/cas/clientredirect.180c78.delayed	(from https://sso.uib.es/cas/login?locale=es)
23:57:18	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:57:17%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure_2FA&locale=es	sso.uib.es/cas/clientredirect.198acb.delayed	(from https://sso.uib.es/cas/login?locale=es)
23:57:29	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:57:29%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure_MFA&locale=es	sso.uib.es/cas/clientredirect.1a99b3.delayed	(from https://sso.uib.es/cas/login?locale=es)
23:57:33	1005160/1005160	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfont.eot?v=5.8.55	sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfonte910.eot	(from https://sso.uib.es/cas/webjars/mdi__font/5.8.55/css/materialdesignicons.css)
23:57:35	319984/319984	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfont.woff2?v=5.8.55	sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfonte910.woff2	(from https://sso.uib.es/cas/webjars/mdi__font/5.8.55/css/materialdesignicons.css)
23:57:36	1005160/1005160	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfont.eot?	sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfontd41d.eot	(from https://sso.uib.es/cas/webjars/mdi__font/5.8.55/css/materialdesignicons.css)
23:57:36	12799/12799	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/img/glyphicons-halflings.png	sso.uib.es/cas/css/uib-theme/img/glyphicons-halflings.png	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:57:37	456532/456532	---M--	200	added ('OK')	application/font-woff	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfont.woff?v=5.8.55	sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfonte910.woff	(from https://sso.uib.es/cas/webjars/mdi__font/5.8.55/css/materialdesignicons.css)
23:57:37	8777/8777	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/img/glyphicons-halflings-white.png	sso.uib.es/cas/css/uib-theme/img/glyphicons-halflings-white.png	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:57:39	1004940/1004940	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfont.ttf?v=5.8.55	sso.uib.es/cas/webjars/mdi__font/5.8.55/fonts/materialdesignicons-webfonte910.ttf	(from https://sso.uib.es/cas/webjars/mdi__font/5.8.55/css/materialdesignicons.css)
23:57:39	42196/42196	---M--	200	added ('OK')	application/x-font-opentype	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-uib/UIBserif.otf	sso.uib.es/cas/css/uib-theme/font-uib/UIBserif.otf	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
